"Año 2001";;"Año 2004";;"Año 2006";
"Edad";"Incidencia";"Edad";"Incidencia";"Edad";"Incidencia"
1;827;2;843;1;903
3;945;4;981;4;3030
6;2889;5;2806;6;2216
7;3086;9;2088;9;2301
8;3302;10;2174;11;2441
11;2112;13;2296;13;2393
12;2196;15;2555;16;2255
14;2336;18;3787;18;3024
16;2686;19;4160;22;5655
17;3622;24;6793;25;6237
20;4256;28;9962;26;6929
21;5543;30;15442;27;7859
23;6462;33;26312;28;9412
25;9282;34;26627;30;16099
27;9667;35;26406;33;25869
29;15433;36;26277;35;45475
31;16438;37;42496;37;68707
32;16997;38;43794;39;87197
39;46978;43;72568;40;98805
40;47781;44;75796;41;106411
41;61716;46;92658;43;126391
42;64376;50;112594;45;142281
47;102284;51;131526;48;166607
53;130482;52;137538;49;170642
54;132774;55;148713;50;183721
56;155179;57;163304;59;166898
58;161019;62;181967;60;171099
63;177336;64;174548;61;171069
66;166373;67;173107;65;123262
70;114529;71;127179;68;112429
74;91544;72;130031;70;89968
76;99651;75;99681;73;96229
